Age	Male	Female
<1 	0.033	0.028
1-4 	0.007	0.007
5-9 	0.004	0.003
10-14 	0.003	0.002
15-19  	0.004	0.003
20-24 	0.005	0.004
25-29 	0.005	0.004
30-34 	0.007	0.005
35-39 	0.009	0.007
40-44 	0.014	0.009
45-49 	0.022	0.013
50-54 	0.04	0.021
55-59 	0.055	0.043
60-64 	0.108	0.091
65-69 	0.13	0.118
70-74 	0.245	0.241
75-79 	0.259	0.23
80-84 	0.367	0.355
85+ 	1	1
