Age	Male	Female
<1  0.06	0.052
1-4	0.005	0.005
5-9	0.001	0.001
10-14	0.001	0.001
15-19 	0.001	0.001
20-24	0.001	0.001
25-29	0.001	0.002
30-34	0.002	0.002
35-39	0.002	0.002
40-44	0.004	0.003
45-49	0.005	0.004
50-54	0.009	0.006
55-59	0.012	0.01
60-64	0.023	0.02
65-69	0.029	0.027
70-74	0.056	0.054
75-79	0.067	0.062
80-84	0.108	0.109
85+	0.178	0.173
