lon,lat,TWID,NFH,RESULT,DESCP,vill
90.733702,23.317699,V72112010,656,N,,V72
90.734389,23.317966,V72112020,655,Y,,V72
90.734587,23.318066,V72112030,655,N,,V72
90.734587,23.318350,V72112040,667,Y,,V72
90.734289,23.318899,V72113010,674,Y,,V72
90.734602,23.318865,V72113020,672,N,,V72
90.734656,23.319099,V72113030,1204,Y,,V72
90.734358,23.319666,V72115010,1404,Y,,V72
90.734038,23.318966,V72114010,687,Y,,V72
90.730772,23.321981,V72116010,702,N,,V72
90.730406,23.324415,V72198010,1164,N,,V72
90.727514,23.323164,V72086010,482,,,V72
90.705601,23.297679,V31265010,1371,N,,V31
90.705479,23.297229,V31265020,1374,Y,,V31
90.706601,23.296929,V31264010,1365,,,V31
90.706601,23.296679,V31264020,1362,Y,,V31
90.706616,23.296664,V31264030,1361,Y,,V31
90.706799,23.297030,V31264040,1367,Y,,V31
90.706883,23.296180,V31264050,1357,Y,,V31
90.707234,23.296546,V31264011,1358,,,V31
90.705548,23.296796,V31266010,1377,Y,,V31
90.706830,23.297629,V31263010,1353,,,V31
90.706715,23.297864,V31263020,1946,Y,,V31
90.705380,23.295396,V31267010,1935,Y,,V31
90.703664,23.295764,V31268010,1399,Y,,V31
90.703297,23.295396,V31268020,1401,Y,,V31
90.702511,23.297114,V31271010,1409,Y,,V31
90.702611,23.297263,V31271020,2124,Y,,V31
90.703244,23.297478,V31271030,1407,,,V31
90.703244,23.296946,V31271040,1405,Y,,V31
90.703244,23.296313,V31271050,1404,N,MISS. ENTRY.,V31
90.702916,23.296496,V31271060,1414,Y,NEW  TW.,V31
90.702031,23.296363,V31432010,2162,Y,,V31
90.701459,23.296530,V31272010,1415,Y,,V31
90.703061,23.298829,V31410012,2009,Y,NEAR MADRASA,V31
90.702550,23.298930,V31410010,2009,Y,,V31
90.700062,23.298846,V31277010,1465,Y,,V31
90.700291,23.298564,V31277020,1469,Y,,V31
90.700665,23.298779,V31277030,1468,Y,,V31
90.700513,23.298979,V31277040,1467,Y,,V31
90.700825,23.298930,V31277050,1463,Y,,V31
90.699628,23.297696,V31274010,1433,,,V31
90.699658,23.297614,V31274020,1433,Y,,V31
90.699376,23.297730,V31274030,1434,Y,,V31
90.699727,23.297364,V31274040,1440,Y,,V31
90.699414,23.297147,V31274050,1445,Y,,V31
90.700680,23.297679,V31273010,1432,Y,,V31
90.699414,23.298846,V31278010,1471,Y,,V31
90.699261,23.298596,V31278020,1957,,,V31
90.699292,23.298146,V31274060,2141,N,,V31
90.698994,23.297948,V31279010,1476,,,V31
90.698376,23.297297,V31280010,1480,Y,,V31
90.697858,23.297864,V31281010,1492,Y,,V31
90.697446,23.297814,V31282010,1497,Y,,V31
90.697262,23.297164,V31282020,1503,Y,,V31
90.697224,23.297314,V31282030,1405,Y,,V31
90.696927,23.297114,V31282011,1504,,,V31
90.697926,23.296981,V31284010,1521,Y,,V31
90.697560,23.296513,V31284020,1519,Y,,V31
90.696339,23.297879,V31328010,1560,Y,,V31
90.695759,23.297680,V31283010,1559,,,V31
90.694455,23.294480,V31288010,1537,Y,,V31
90.694073,23.294530,V31288020,1534,N,,V31
90.695927,23.294247,V31287010,1528,,,V31
90.695576,23.294413,V31287020,1530,Y,,V31
90.696393,23.295281,V31286010,1523,Y,,V31
90.696873,23.295296,V31286020,1526,Y,,V31
90.696660,23.295613,V31286030,1526,N,,V31
90.694424,23.295680,V31424010,2107,N,,V31
90.694356,23.296263,V31431010,2074,,,V31
90.694424,23.297463,V31327010,1558,Y,,V31
90.692242,23.297465,V31394010,1898,N,,V31
90.692021,23.297497,V31394013,1898,Y,MUNSIR HAT MADRASA,V31
90.691754,23.297480,V31394023,1898,Y,MUNSIR HAT MADRASA,V31
90.691525,23.297047,V31394020,1898,Y,DR. ABID'S HOUSE,V31
90.691472,23.297080,V31394030,1898,N,DR.ABID'S HOUSE,V31
90.691502,23.297181,V31394012,1898,,TAMANNA RESTOURENT,B,V31
90.691090,23.297015,V31394022,1898,Y,ALI AHMED'S HOTEL,V31
90.691037,23.297047,V31394032,1898,Y,ALI HOSSAIN'S HOTEL,V31
90.690938,23.297314,V31394042,1898,,SURUJ TEA STALL,V31
90.690884,23.296631,V31394052,1898,Y,GAZI SWEET'S BAZAR,V31
90.690968,23.296731,V31394062,1898,Y,HOWLADER'SHOTEL,V31
90.691075,23.297398,V31292011,1555,,,V31
90.690991,23.297347,V31292021,1555,,,V31
90.691037,23.297848,V31292013,1555,,,V31
90.690823,23.298031,V31292023,1555,N,,V31
90.690854,23.298115,V31292033,1555,Y,MUNSIRHAT SCHOOL,V31
90.691357,23.298214,V31292043,1555,N,MUNSIRHAT SCHOOL,V31
90.691723,23.297930,V31292010,1555,Y,GOLAM MOSTOFA MASTER,V31
90.691807,23.295031,V31289010,2121,Y,,V31
90.692075,23.294930,V31289020,1549,N,,V31
90.691869,23.294648,V31289030,1550,Y,,V31
90.691876,23.294831,V31289040,1550,,,V31
90.692220,23.293715,V31289013,1550,N,MUNSIRHAT COLLEGE,V31
90.692502,23.293015,V31289018,1550,,M/S JAHANARA ENT.,V31
90.691937,23.295514,V31290010,1539,Y,,V31
90.691769,23.295464,V31290020,1546,Y,,V31
90.692021,23.295798,V31290030,1541,Y,,V31
90.691685,23.295765,V31290040,1544,Y,,V31
90.696911,23.298163,V31403010,1945,Y,,V31
90.694157,23.298230,V31357010,1561,N,,V31
90.694577,23.298596,V31358010,1562,Y,,V31
90.694478,23.299429,V31310010,1857,,,V31
90.696225,23.299580,V31308010,1569,Y,,V31
90.695355,23.299063,V31395010,1899,Y,,V31
90.693821,23.300715,V31312010,1590,Y,,V31
90.693623,23.300648,V31312020,1591,N,,V31
90.693554,23.300614,V31312030,1592,N,,V31
90.694226,23.301964,V31359010,1588,Y,,V31
90.693059,23.300196,V31313010,1596,Y,,V31
90.692105,23.300515,V31315010,1610,N,,V31
90.691754,23.300597,V31315020,1613,N,,V31
90.692372,23.300797,V31314010,1601,Y,,V31
90.692425,23.300665,V31314020,1600,Y,,V31
90.691922,23.300080,V31315030,1615,,,V31
90.691571,23.300930,V31316010,1619,Y,,V31
90.691586,23.301465,V31316020,1620,Y,,V31
90.691472,23.301198,V31316030,1623,Y,,V31
90.691624,23.301514,V31316040,1621,,,V31
90.691205,23.301030,V31317010,1632,,,V31
90.690869,23.300965,V31317020,1625,Y,,V31
90.690526,23.300547,V31318040,1633,Y,,V31
90.690457,23.299698,V31379010,1884,Y,,V31
90.706625,23.344999,W00253013,825,N,,W00
90.704961,23.344665,W00228010,715,N,,W00
90.704938,23.344548,W00228020,715,,,W00
90.705060,23.344548,W00240010,799,N,,W00
90.706159,23.345664,W00164010,205,N,,W00
90.705991,23.345615,W00164020,862,N,,W00
90.706029,23.345548,W00164013,862,,,W00
90.705892,23.345649,W00164030,204,,,W00
90.705762,23.345664,W00164040,830,N,,W00
90.705427,23.345798,W00341030,1423,,,W00
90.705495,23.345815,W00199010,1187,N,,W00
90.705526,23.345882,W00199020,775,N,,W00
90.705427,23.345931,W00295010,997,N,DEEP TW,W00
90.705274,23.346065,W00194010,68,N,,W00
90.705190,23.346214,W00236010,1337,N,,W00
90.705358,23.346214,W00193010,67,N,,W00
90.705358,23.346082,W00196010,742,N,,W00
90.705457,23.346299,W00195010,69,N,,W00
90.705511,23.346181,W00195020,69,N,,W00
90.705595,23.346381,W00196020,70,N,,W00
90.706327,23.346864,W00330010,1278,N,,W00
90.706426,23.345830,W00046020,195,,,W00
90.706258,23.346181,W00046030,198,N,,W00
90.706159,23.346181,W00046040,198,N,,W00
90.705839,23.346149,W00046050,200,N,,W00
90.705961,23.345849,W00046060,1131,,,W00
90.706907,23.345498,W00046014,193,,,W00
90.709409,23.346614,W00095010,445,N,,W00
90.709280,23.346731,W00095020,445,N,,W00
90.709196,23.346731,W00095030,445,N,,W00
90.709463,23.346780,W00095040,445,N,East side of 095,W00
90.709379,23.346931,W00227010,720,N,,W00
90.709463,23.346948,W00287020,971,,,W00
90.706663,23.348432,W00202010,1305,N,,W00
90.706724,23.348365,W00202020,1305,,,W00
90.706479,23.348264,W00325010,1229,N,,W00
90.706708,23.348682,W00324010,1228,N,,W00
90.706579,23.348514,W00330020,1335,,,W00
90.711561,23.347398,W00100130,446,,,W00
90.710996,23.347299,W00276010,1110,N,,W00
90.707860,23.344447,W00079010,316,N,,W00
90.707677,23.344432,W00079020,316,N,,W00
90.706579,23.346164,W00045010,185,,,W00
90.706541,23.346198,W00045020,185,N,,W00
90.706441,23.346198,W00045030,717,N,,W00
90.706678,23.346114,W00045040,1536,N,,W00
90.706724,23.346448,W00045013,185,,,W00
90.706556,23.346231,W00045023,185,N,,W00
90.726152,23.340305,V56025010,208,Y,,V56
90.725687,23.340805,V56055010,308,N,,V56
90.723917,23.341272,V56006010,63,,,V56
90.723871,23.341537,V56006020,63,Y,,V56
90.724268,23.341572,V56054010,306,Y,,V56
90.723116,23.343222,V56007010,35,,,V56
90.723070,23.343389,V56007020,34,Y,,V56
90.723001,23.343756,V56007030,29,Y,,V56
90.723055,23.343773,V56007040,28,N,,V56
90.723352,23.343756,V56007050,27,Y,,V56
90.723467,23.343555,V56007060,25,Y,,V56
90.723497,23.343372,V56007070,22,Y,,V56
90.723902,23.344423,V56008010,20,Y,,V56
90.724237,23.344538,V56008020,17,Y,,V56
90.722582,23.343572,V56044010,15,Y,,V56
90.723619,23.345472,V56051010,295,Y,,V56
90.723581,23.345589,V56011010,6,N,,V56
90.724115,23.345756,V56011020,8,N,,V56
90.724367,23.346123,V56011030,5,Y,,V56
90.724619,23.346004,V56011040,1,N,,V56
90.724955,23.345205,V56045010,37,,,V56
90.725183,23.344805,V56012010,39,Y,,V56
90.725183,23.344587,V56012020,41,Y,,V56
90.722765,23.344671,V56009010,14,Y,,V56
90.722452,23.344889,V56009011,14,Y,AMIN MSQ OF PAILPARA,V56
90.723421,23.345106,V56063010,353,Y,,V56
90.725336,23.344423,V56013010,44,Y,,V56
90.725702,23.344288,V56013020,43,Y,,V56
90.724832,23.343971,V56014010,45,Y,,V56
90.724665,23.343538,V56015010,48,Y,,V56
90.725016,23.343555,V56015020,46,Y,,V56
90.725603,23.343439,V56015011,46,Y,BAKSHA ALI MOSQUE,V56
90.724619,23.342905,V56016010,49,Y,,V56
90.724749,23.343006,V56016020,324,Y,,V56
90.724916,23.342705,V56016030,56,Y,,V56
90.724802,23.342655,V56016040,51,Y,,V56
90.724916,23.342056,V56017010,61,N,,V56
90.725084,23.340872,V56062010,352,Y,,V56
90.724855,23.340588,V56062013,352,,,V56
90.727686,23.337154,V56030010,100,N,,V56
90.727389,23.337255,V56030020,107,Y,,V56
90.727137,23.337439,V56030030,105,Y,,V56
90.726999,23.338789,V56028010,125,Y,,V56
90.726984,23.339088,V56028020,126,Y,,V56
90.726618,23.338955,V56028030,317,Y,,V56
90.726633,23.339573,V56027010,138,Y,,V56
90.726587,23.339605,V56027020,139,Y,,V56
90.726000,23.339355,V56027030,131,Y,,V56
90.726152,23.339556,V56027040,135,,,V56
90.727068,23.340006,V56026010,146,Y,,V56
90.727266,23.339373,V56026020,149,Y,,V56
90.727617,23.339138,V56032010,153,Y,,V56
90.727671,23.339273,V56032020,154,Y,,V56
90.727602,23.339523,V56032030,154,Y,,V56
90.727617,23.339155,V56032040,152,Y,,V56
90.727373,23.338873,V56032060,159,Y,,V56
90.728006,23.338888,V56032070,161,Y,,V56
90.729670,23.338272,V56034011,173,Y,,V56
90.729822,23.338873,V56034010,174,Y,,V56
90.729685,23.339239,V56034020,178,,,V56
90.729624,23.339506,V56034030,174,N,,V56
90.729502,23.339273,V56034040,179,N,,V56
90.729540,23.339005,V56034050,180,Y,,V56
90.729387,23.339224,V56034060,166,Y,,V56
90.729250,23.338957,V56034070,168,Y,,V56
90.730707,23.338955,V56035010,182,Y,,V56
90.730852,23.339306,V56035020,181,,,V56
90.730753,23.339422,V56035030,184,Y,,V56
90.730639,23.339457,V56035040,183,Y,,V56
90.728869,23.339422,V56033010,164,Y,,V56
90.728907,23.339638,V56033020,162,Y,,V56
90.728724,23.339539,V56033030,163,Y,,V56
90.728769,23.339722,V56033040,163,,,V56
90.729136,23.340105,V56036010,188,Y,,V56
90.728067,23.340305,V56038010,204,Y,,V56
90.729151,23.340872,V56037010,190,Y,,V56
90.729502,23.340973,V56037020,192,Y,,V56
90.728571,23.340906,V56060010,336,N,,V56
90.726755,23.341089,V56024010,221,Y,,V56
90.726633,23.341339,V56024020,213,,,V56
90.726999,23.341822,V56018010,271,Y,,V56
90.726938,23.341923,V56018020,274,Y,,V56
90.727106,23.341972,V56018030,273,Y,,V56
90.727152,23.342056,V56018040,276,Y,,V56
90.726900,23.342255,V56018050,276,Y,,V56
90.726305,23.342005,V56018060,2278,N,,V56
90.727304,23.341505,V56023010,224,Y,,V56
90.728052,23.341572,V56047010,232,Y,,V56
90.728083,23.341955,V56021010,233,N,,V56
90.727633,23.342422,V56019010,245,Y,,V56
90.727419,23.342789,V56019020,251,Y,,V56
90.727716,23.342239,V56019011,245,Y,,V56
90.728823,23.341139,V56039010,196,Y,,V56
90.729586,23.341856,V56059010,314,Y,,V56
90.728868,23.342623,V56048010,236,Y,,V56
90.728670,23.342606,V56022010,237,Y,,V56
90.728518,23.342274,V56020010,235,Y,,V56
90.729120,23.342556,V56052010,298,Y,,V56
90.729723,23.343273,V56050010,290,N,,V56
90.740667,23.373347,H00011010,85,N,,H00
90.741316,23.374180,H00007010,65,N,,H00
90.740850,23.374214,H00007020,66,,,H00
90.741384,23.374731,H00006010,57,,,H00
90.741445,23.375115,H00005010,50,N,,H00
90.741651,23.375313,H00005013,48,,,H00
90.742033,23.375548,H00004010,47,Y,,H00
90.741796,23.375881,H00004020,46,Y,,H00
90.741934,23.375664,H00004030,44,Y,,H00
90.741346,23.376064,H00048010,290,Y,,H00
90.742300,23.376030,H00003010,37,N,,H00
90.741918,23.376965,H00002010,28,Y,,H00
90.739996,23.374497,H00009010,300,Y,,H00
90.739797,23.374314,H00009020,111,,,H00
90.741636,23.374346,H00007013,65,,,H00
90.735281,23.366829,H00043018,237,,,H00
90.737699,23.366013,H00040010,230,,,H00
90.738416,23.365879,H00035010,212,,,H00
90.738600,23.366463,H00034010,201,,,H00
90.738050,23.366631,H00033010,191,Y,,H00
90.737951,23.366780,H00032010,190,Y,,H00
90.738165,23.367079,H00032020,186,Y,,H00
90.737768,23.367212,H00031010,185,Y,,H00
90.737150,23.367546,H00029010,175,,,H00
90.736997,23.368180,H00028010,160,,,H00
90.737280,23.368914,H00027010,158,,,H00
90.737249,23.368746,H00047010,276,,,H00
90.737753,23.369364,H00025010,155,Y,,H00
90.738065,23.369745,H00024010,144,N,,H00
90.737913,23.369797,H00023010,139,,,H00
90.738630,23.370680,H00021010,129,Y,,H00
90.739019,23.371096,H00020010,123,,,H00
90.739263,23.371897,H00017010,104,N,,H00
90.739279,23.372164,H00017020,102,Y,,H00
90.739851,23.372547,H00015010,92,N,,H00
90.740202,23.372797,H00013010,88,Y,,H00
90.739263,23.372597,H00018010,113,Y,,H00
90.753926,23.385237,V24003010,7,Y,,V24
90.753659,23.385138,V24003020,8,Y,,V24
90.753499,23.385105,V24003030,9,Y,,V24
90.753544,23.384955,V24003040,10,Y,,V24
90.754597,23.385405,V24004010,16,N,,V24
90.754696,23.385405,V24004020,17,N,,V24
90.753766,23.385737,V24001010,3,Y,,V24
90.753529,23.386021,V24001020,2,Y,,V24
90.753644,23.385954,V24002018,5,N,,V24
90.755078,23.384772,V24005010,20,,,V24
90.754948,23.384571,V24005020,21,Y,,V24
90.755299,23.384121,V24007010,27,Y,,V24
90.754681,23.383820,V24006010,25,Y,,V24
90.754544,23.384339,V24006020,17,N,,V24
90.754826,23.383520,V24008010,28,Y,,V24
90.754849,23.383354,V24008020,29,,,V24
90.754300,23.382771,V24010010,34,Y,,V24
90.753560,23.383221,V24011010,47,Y,,V24
90.753316,23.382670,V24011020,48,,,V24
90.753644,23.382920,V24011030,49,N,,V24
90.753598,23.381655,V24017010,79,Y,,V24
90.753682,23.381920,V24017020,80,Y,,V24
90.753346,23.381605,V24016010,71,Y,,V24
90.752644,23.380619,V24014010,63,N,,V24
90.753216,23.381037,V24015010,67,Y,,V24
90.752766,23.383154,V24012010,52,Y,,V24
90.754216,23.381771,V24018010,88,Y,,V24
90.755444,23.381621,V24019010,93,Y,,V24
90.755162,23.381855,V24019020,90,Y,,V24
90.754849,23.378220,V24022010,138,Y,,V24
90.753484,23.378971,V24023010,112,Y,,V24
90.753384,23.379170,V24023020,123,,,V24
90.753895,23.378954,V24023030,124,Y,,V24
90.753400,23.377520,V24026010,553,Y,,V24
90.752835,23.377386,V24027010,164,Y,,V24
90.752545,23.377569,V24027020,168,Y,,V24
90.753613,23.376904,V24025010,148,N,,V24
90.752194,23.377703,V24028013,173,,,V24
90.751485,23.377554,V24028010,173,N,,V24
90.751897,23.377270,V24028020,175,Y,,V24
90.751813,23.376938,V24029010,176,N,,V24
90.750798,23.376753,V24030010,178,Y,,V24
90.750783,23.376604,V24030020,669,N,,V24
90.750745,23.378254,V24074010,606,Y,,V24
90.750363,23.378004,V24074020,682,,,V24
90.750630,23.377836,V24074030,682,N,,V24
90.750165,23.377703,V24031010,182,N,,V24
90.749997,23.377569,V24031020,182,N,,V24
90.750233,23.377485,V24031030,183,Y,,V24
90.748868,23.376686,V24082010,588,N,,V24
90.748380,23.375887,V24034010,202,N,,V24
90.748830,23.376137,V24034020,200,N,,V24
90.749448,23.375469,V24032010,185,N,,V24
90.748967,23.375620,V24033010,191,N,,V24
90.747617,23.375902,V24035010,216,Y,,V24
90.747800,23.375853,V24035020,206,Y,,V24
90.746945,23.375118,V24036010,244,Y,,V24
90.747113,23.375168,V24036020,237,Y,,V24
90.747182,23.374703,V24036030,225,Y,,V24
90.747418,23.374918,V24036040,222,,,V24
90.745694,23.374952,V24039010,250,,,V24
90.745633,23.374769,V24039020,251,Y,MISSING ENTRY,V24
90.746434,23.374102,V24041010,284,Y,,V24
90.746899,23.373953,V24041020,280,,,V24
90.746167,23.373968,V24042010,286,Y,,V24
90.745068,23.373135,V24040010,264,Y,,V24
90.744817,23.373285,V24040020,260,N,,V24
90.745381,23.372952,V24040030,263,Y,,V24
90.745282,23.371586,V24091010,639,Y,,V24
90.753766,23.379971,V24024013,131,,,V24
90.752835,23.374304,V24051010,395,N,,V24
90.752866,23.374754,V24051020,398,Y,,V24
90.751286,23.373987,V24052010,392,Y,,V24
90.752034,23.373903,V24050010,447,Y,,V24
90.750768,23.373787,V24049010,364,Y,,V24
90.749951,23.373703,V24047010,329,N,,V24
90.749562,23.373552,V24047011,329,N,,V24
90.749997,23.374470,V24048010,344,Y,,V24
90.749898,23.374470,V24048020,344,N,,V24
90.749379,23.373053,V24077010,328,Y,,V24
90.749432,23.373070,V24076010,327,Y,,V24
90.749951,23.372286,V24045010,325,Y,,V24
90.748380,23.374069,V24044010,304,Y,,V24
90.748151,23.373503,V24044020,304,,,V24
90.747800,23.373636,V24044030,306,Y,,V24
90.747899,23.373303,V24044040,303,,,V24
90.747311,23.373854,V24043010,570,,,V24
90.747266,23.373785,V24043020,570,Y,,V24
90.752332,23.372454,V24053010,693,N,,V24
90.751981,23.372587,V24053020,381,,,V24
90.704374,23.341748,V24021010,106,Y,,V24
90.755162,23.379221,V24021020,109,,,V24
90.755063,23.378855,V24021040,100,Y,,V24
90.754979,23.378771,V24021011,103,Y,JAMAL PRO. BARI MOSQ,V24
90.755246,23.378788,V24054010,631,,,V24
90.753217,23.372721,V24054020,391,,,V24
90.753163,23.373070,V24053030,379,N,,V24
90.751950,23.372704,V24053040,372,Y,,V24
90.752049,23.372954,V24053050,369,N,,V24
90.752164,23.373137,V24053060,370,N,,V24
90.752347,23.372988,V24053070,376,Y,,V24
90.752385,23.372587,V24053080,377,Y,,V24
90.752385,23.372771,V24053090,378,N,,V24
90.752347,23.372521,V24053011,623,,,V24
90.753034,23.372105,V24061010,440,,,V24
90.754186,23.372305,V24061020,619,Y,,V24
90.754468,23.372256,V24062010,441,,,V24
90.754399,23.371605,V24062020,441,,,V24
90.754414,23.371037,V24062030,441,,,V24
90.754147,23.371304,V24062040,441,,,V24
90.754384,23.371088,V24064010,574,,,V24
90.754231,23.369887,V24064020,574,Y,,V24
90.754300,23.369904,V24064030,458,,,V24
90.754331,23.369505,V24064040,459,,,V24
90.754582,23.369770,V24064050,460,N,,V24
90.704374,23.341731,V24066010,477,,,V24
90.755231,23.369288,V24066020,474,Y,,V24
90.754987,23.369570,V24066030,475,Y,,V24
90.755101,23.369570,V24079010,482,Y,,V24
90.755254,23.368954,V24067010,483,,,V24
90.754514,23.368637,V24068010,494,Y,,V24
90.753537,23.368437,V24068020,504,,,V24
90.753217,23.368204,V24068030,502,Y,,V24
90.753697,23.368269,V24069010,582,Y,,V24
90.752118,23.367970,V24069020,556,Y,,V24
90.752233,23.367487,V24070010,524,Y,,V24
90.750348,23.366636,V24086010,601,Y,,V24
90.747113,23.367935,V24071011,590,Y,,V24
