lon,lat,TWID,NFH,RESULT,DESCP,vill
90.736211,23.376417,V23016010,91,N,,V23
90.736096,23.376617,V23016020,88,N,,V23
90.735616,23.376417,V23016030,99,N,,V23
90.735616,23.376516,V23016040,98,N,,V23
90.735844,23.376434,V23016050,94,N,,V23
90.735745,23.376902,V23016060,87,Y,,V23
90.736249,23.376833,V23015010,82,N,,V23
90.736310,23.377167,V23014010,80,N,,V23
90.736981,23.377500,V23011010,59,N,,V23
90.736867,23.377767,V23011020,60,N,,V23
90.737134,23.377401,V23011030,57,N,,V23
90.737561,23.377550,V23011040,56,N,,V23
90.737294,23.377684,V23006010,30,,,V23
90.737683,23.378084,V23010010,50,N,,V23
90.737843,23.378200,V23009010,46,N,,V23
90.737950,23.378302,V23009020,42,N,,V23
90.738728,23.378252,V23007020,38,,,V23
90.739194,23.378485,V23004010,21,N,,V23
90.739743,23.378784,V23002010,8,N,,V23
90.720381,23.314964,V72053010,291,,,V72
90.721335,23.315149,V72053020,283,N,CORRECTED,V72
90.719015,23.315399,V72052010,1188,Y,CORRECTED,V72
90.719168,23.315649,V72188010,277,Y,,V72
90.719183,23.316265,V72051010,1394,,,V72
90.719046,23.316448,V72051020,1437,Y,,V72
90.719832,23.316398,V72051030,276,Y,,V72
90.719450,23.316747,V72050010,267,,,V72
90.719061,23.316448,V72050020,266,,,V72
90.719633,23.317232,V72049010,232,,CORRECTED,V72
90.719999,23.317531,V72049020,248,,,V72
90.719565,23.317314,V72049030,246,Y,,V72
90.719862,23.317630,V72049040,236,N,,V72
90.719366,23.317863,V72049050,234,Y,,V72
90.719130,23.318031,V72049060,240,Y,,V72
90.719229,23.318330,V72049070,250,Y,,V72
90.720213,23.317548,V72049080,251,,,V72
90.720633,23.316764,V72049090,1392,Y,,V72
90.720549,23.317098,V72049100,232,Y,,V72
90.720251,23.317981,V72048010,229,N,,V72
90.721647,23.317613,V72217010,1268,Y,,V72
90.721602,23.317398,V72217020,1268,N,,V72
90.721518,23.318199,V72231010,1476,,,V72
90.721884,23.318115,V72224010,1421,Y,,V72
90.720862,23.318449,V72054010,295,Y,,V72
90.721083,23.319198,V72057010,306,Y,,V72
90.720663,23.319332,V72057020,309,Y,,V72
90.720862,23.320064,V72058010,311,Y,,V72
90.721129,23.320331,V72059010,314,Y,,V72
90.721869,23.321081,V72060010,333,Y,,V72
90.720617,23.321148,V72060020,331,,,V72
90.721251,23.321632,V72061011,1327,,,V72
90.721029,23.321998,V72061010,339,Y,,V72
90.720366,23.322631,V72062020,354,,,V72
90.720213,23.323164,V72062030,356,,,V72
90.722235,23.322965,V72069010,389,Y,,V72
90.722014,23.322731,V72069020,390,Y,,V72
90.721067,23.324380,V72029010,170,,,V72
90.720251,23.325449,V72030010,167,Y,,V72
90.719160,23.325147,V72031010,163,Y,,V72
90.718100,23.326349,V72036010,153,Y,,V72
90.718862,23.327364,V72032010,145,,,V72
90.719984,23.326349,V72032020,1282,,,V72
90.721479,23.327032,V72024010,134,,,V72
90.721113,23.326614,V72028010,144,N,,V72
90.721296,23.325449,V72027010,140,Y,,V72
90.723082,23.325182,V72189010,414,,,V72
90.723402,23.324348,V72212010,1236,Y,,V72
90.722982,23.324299,V72212012,1236,,,V72
90.724585,23.327999,V72194010,187,,,V72
90.723532,23.330431,V72167010,1068,Y,,V72
90.723181,23.329748,V72168010,1288,Y,,V72
90.722914,23.330099,V72168020,1064,Y,,V72
90.722235,23.330598,V72169010,1057,N,,V72
90.722380,23.330848,V72169020,1055,,,V72
90.721998,23.322214,V72068010,376,Y,,V72
90.721632,23.322414,V72067010,369,Y,,V72
90.719900,23.318981,V72047010,1299,Y,,V72
90.719114,23.319198,V72047020,220,,,V72
90.718931,23.319664,V72046020,1276,Y,,V72
90.719168,23.319782,V72046030,1216,Y,,V72
90.718130,23.320098,V72045010,215,Y,,V72
90.718878,23.320299,V72187010,212,Y,,V72
90.719763,23.320947,V72043010,203,,,V72
90.719084,23.321182,V72042010,197,N,,V72
90.719168,23.321699,V72042011,195,,,V72
90.719030,23.321798,V72208010,1224,Y,,V72
90.718061,23.323465,V72039010,176,N,,V72
90.717863,23.323331,V72039020,175,N,,V72
90.719564,23.323532,V72064010,1305,Y,,V72
90.719564,23.323999,V72064020,360,Y,,V72
90.717566,23.324665,V72038010,173,Y,,V72
90.718000,23.325031,V72038020,172,N,,V72
90.717733,23.327049,V72035010,147,,,V72
90.724302,23.323148,V72070010,396,,,V72
90.723547,23.323364,V72070020,397,Y,,V72
90.723448,23.323448,V72070030,399,Y,,V72
90.723547,23.323532,V72070040,401,Y,,V72
90.723700,23.323949,V72070050,405,Y,,V72
90.723883,23.323982,V72070060,406,Y,,V72
90.723898,23.323448,V72070070,410,Y,,V72
90.724501,23.321081,V72094010,502,,,V72
90.726050,23.320999,V72095010,514,,,V72
90.725897,23.320665,V72095020,517,,,V72
90.725798,23.320799,V72095030,519,,,V72
90.726271,23.322164,V72093010,500,,,V72
90.726431,23.322548,V72093020,498,,,V72
90.726698,23.321914,V72085010,497,,,V72
90.723364,23.315199,V72108010,608,,,V72
90.723097,23.315031,V72108020,614,,,V72
90.722487,23.315414,V72107010,629,,,V72
90.725599,23.315530,V72110010,563,,,V72
90.725249,23.315582,V72110020,562,,,V72
90.724882,23.316332,V72109013,1481,,,V72
90.724531,23.316314,V72109011,1481,,DHON GAZI MOSQUE,V72
90.723952,23.316663,V72109010,572,,,V72
90.724203,23.316982,V72109020,567,,,V72
90.723700,23.317249,V72104010,553,,,V72
90.723616,23.316948,V72104020,555,,,V72
90.723135,23.317381,V72102010,546,Y,,V72
90.722784,23.317632,V72103010,550,Y,,V72
90.722403,23.317199,V72204010,1211,Y,,V72
90.722166,23.316932,V72216010,1261,,,V72
90.722380,23.318899,V72222010,1408,,,V72
90.723402,23.317899,V72101010,1166,,,V72
90.723547,23.317697,V72101020,543,Y,,V72
90.723501,23.318098,V72101030,538,N,,V72
90.722967,23.316015,V72106010,595,Y,,V72
90.722616,23.316232,V72106020,585,Y,,V72
90.723868,23.319664,V72192010,505,Y,,V72
90.723997,23.320049,V72192020,506,Y,,V72
90.724203,23.320514,V72181010,504,,,V72
90.726988,23.319982,V72096010,521,,,V72
90.728384,23.320081,V72097010,531,,,V72
90.728315,23.319099,V72098010,533,,,V72
90.728018,23.319214,V72098020,536,,,V72
90.731306,23.319198,V72111010,653,Y,,V72
90.731718,23.319233,V72111020,632,Y,,V72
90.731718,23.318949,V72111030,642,Y,,V72
90.731421,23.318449,V72220010,1342,Y,,V72
90.729506,23.318498,V72219010,1341,,,V72
90.729338,23.318716,V72219020,1341,Y,,V72
90.729689,23.318649,V72219030,1343,Y,,V72
