lon,lat,PON_ID,BARI,NFH,NAME,SEQNO,DESCP,LMK,vill
90.702472,23.346472,D001053921,D00105,0464,PONDS,3921,SOUTH  SIDE,007,D00
90.701778,23.346806,D001053922,D00105,0464,PONDS,3922,SOUTH  SIDE,009,D00
90.702028,23.346917,D001053923,D00105,0464,PONDS,3923,WEST  SIDE,010,D00
90.701889,23.345750,D000743924,D00074,0100,PONDS,3924,WEST  SIDE,017,D00
90.702639,23.345694,D000023925,D00002,0107,PONDS,3925,EAST  SIDE,019,D00
90.703028,23.345917,D000023926,D00002,0107,PONDS,3926,WEST  SIDE,020,D00
90.702889,23.345389,D000033927,D00003,0117,PONDS,3927,EAST  SIDE,022,D00
90.702639,23.343944,D000043928,D00004,0128,PONDS,3928,WEST  SIDE,024,D00
90.702444,23.341028,D000563929,D00056,0120,PONDS,3929,NORTH  SIDE,025,D00
90.702722,23.343667,D000433930,D00043,0129,PONDS,3930,WEST  SIDE,026,D00
90.701361,23.343972,D000563931,D00056,0120,PONDS,3931,WEST  SIDE,027,D00
90.700389,23.343028,D000573932,D00057,0131,PONDS,3932,NORTH SIDE,028,D00
90.699750,23.343028,D000083933,D00008,0137,PONDS,3933,SOUTH SIDE,029,D00
90.699833,23.343472,D000093934,D00009,0138,PONDS,3934,SOUTH  SIDE,030,D00
90.700417,23.343361,D000093935,D00009,0145,PONDS,3935,NORTH  SIDE,031,D00
90.700500,23.343806,D000103936,D00010,0168,PONDS,3936,WEST  SIDE,032,D00
90.690333,23.343500,D000313986,D00031,0311,PONDS,3986,WEST  SIDE,122,D00
90.690722,23.345389,D000363989,D00036,0373,PONDS,3989,SOUTH  SIDE,123,D00
90.700694,23.344361,D000113937,D00011,0170,PONDS,3937,WEST  SIDE,034,D00
90.700667,23.344639,D000133938,D00013,0172,PONDS,3938,WEST  SIDE,035,D00
90.700694,23.344722,D000133939,D00013,0172,PONDS,3939,WEST  SIDE,036,D00
90.701056,23.345500,D000183940,D00018,0198,PONDS,3940,WEST  SIDE,040,D00
90.699750,23.344778,D000623941,D00062,0219,PONDS,3941,WEST  SIDE,045,D00
90.699306,23.344306,D000243942,D00024,0227,PONDS,3942,EAST  SIDE,047,D00
90.699306,23.344417,D000243943,D00024,0227,PONDS,3943,EAST  SIDE,048,D00
90.699806,23.343944,D000243944,D00024,0229,PONDS,3944,WEST  SIDE,049,D00
90.699333,23.344056,D000633945,D00063,0231,PONDS,3945,EAST  SIDE,051,D00
90.699389,23.343417,D000263946,D00026,0232,PONDS,3946,WEST  SIDE,052,D00
90.699278,23.343167,D000233947,D00023,0235,PONDS,3947,EAST  SIDE,054,D00
90.698667,23.343000,D000643948,D00064,0236,PONDS,3948,NORTH  SIDE,055,D00
90.698361,23.344694,D000293949,D00029,0280,PONDS,3949,SOUTH  SIDE,059,D00
90.697000,23.343778,D000753950,D00075,0283,PONDS,3950,EAST  SIDE,062,D00
90.695417,23.342611,D000873951,D00087,0284,PONDS,3951,SOUTH  SIDE,063,D00
90.694944,23.342472,D000553952,D00055,0285,PONDS,3952,WEST  SIDE,064,D00
90.694528,23.342472,D000843953,D00084,0286,PONDS,3953,SOUTH  SIDE,065,D00
90.694389,23.342250,D000463954,D00046,0287,PONDS,3954,NORTH  SIDE,066,D00
90.694250,23.342139,D000473955,D00047,0292,PONDS,3955,SOUTH  SIDE,069,D00
90.691694,23.342389,D000793956,D00079,0306,PONDS,3956,SOUTH  SIDE,075,D00
90.691750,23.343056,D000683957,D00068,0309,PONDS,3957,SOUTH  SIDE,078,D00
90.693389,23.344528,D001013958,D00101,0428,PONDS,3958,EAST  SIDE,080,D00
90.695944,23.345056,D000853959,D00085,0415,PONDS,3959,NORTH  SIDE,084,D00
90.697306,23.345750,D000993960,D00099,0416,PONDS,3960,EAST  SIDE,085,D00
90.698139,23.345972,D001043961,D00104,0435,PONDS,3961,NORTH SIDE,087,D00
90.703556,23.347028,D000913962,D00091,0085,PONDS,3962,SOUTH  SIDE,089,D00
90.699083,23.346194,D000653963,D00065,0283,PONDS,3963,WEST  SIDE,092,D00
90.694194,23.343528,D000883964,D00088,0412,PONDS,3964,NORTH  SIDE,093,D00
90.694000,23.343444,D000883965,D00088,0411,PONDS,3965,NORTH  SIDE,094,D00
90.692722,23.344528,D000513966,D00051,0405,PONDS,3966,WEST  SIDE,095,D00
90.692278,23.345667,D000713967,D00071,0008,PONDS,3967,WEST  SIDE,097,D00
90.692056,23.346083,D000393968,D00039,0403,PONDS,3968,EAST  SIDE,099,D00
90.691694,23.346500,D000383969,D00038,0384,PONDS,3969,WEST  SIDE,100,D00
90.691417,23.346194,D000383970,D00038,0385,PONDS,3970,EAST  SIDE,101,D00
90.691278,23.345222,D000383971,D00038,0389,PONDS,3971,WEST  SIDE,102,D00
90.691083,23.345333,D000383972,D00038,0390,PONDS,3972,EAST  SIDE,103,D00
90.690861,23.346278,D000373973,D00037,0377,PONDS,3973,SOUTH  SIDE,104,D00
90.690583,23.346472,D000363974,D00036,0372,PONDS,3974,SOUTH  SIDE,106,D00
90.690222,23.345833,D000353975,D00035,0369,PONDS,3975,WEST SIDE,107,D00
90.690139,23.345750,D000353976,D00035,0368,PONDS,3976,EAST  SIDE,108,D00
90.690333,23.346639,D000353977,D00035,0364,PONDS,3977,SOUTH  SIDE,109,D00
90.689917,23.346750,D000343978,D00034,0351,PONDS,3978,SOUTH  SIDE,110,D00
90.689972,23.345472,D000323979,D00032,0326,PONDS,3979,WEST  SIDE,113,D00
90.690139,23.345333,D000323980,D00032,0326,PONDS,3980,WEST  SIDE,115,D00
90.689083,23.345611,D000323981,D00032,0330,PONDS,3981,SOUTH  SIDE,117,D00
90.688778,23.344639,D000763982,D00076,0322,PONDS,3982,NORTH  SIDE,118,D00
90.687472,23.343778,D000503983,D00050,0321,PONDS,3983,EAST  SIDE,119,D00
90.688056,23.343556,D000493984,D00049,0320,PONDS,3984,SOUTH  SIDE,120,D00
90.689778,23.343528,D000903985,D00090,0314,PONDS,3985,SOUTH  SIDE,121,D00
90.770583,23.398167,DX00015504,DX0001,0001,PONDS,5504,WEST  SIDE,002,DX0
90.772750,23.397694,DX00605505,DX0060,0042,PONDS,5505,EWST  SIDE,006,DX0
90.773667,23.396944,DX00045506,DX0004,0024,PONDS,5506,WEST  SIDE,007,DX0
90.773361,23.397278,DX00045507,DX0004,0041,PONDS,5507,EAST   SIDE,011,DX0
90.772667,23.398528,DX00055508,DX0005,0043,PONDS,5508,NORTH  SIDE,013,DX0
90.772722,23.398722,DX00055509,DX0005,0044,PONDS,5509,SOUTH  SIDE,014,DX0
90.773528,23.398722,DX00055510,DX0005,0064,PONDS,5510,NORTH  SIDE,017,DX0
90.774278,23.400667,DX00115511,DX0011,0114,PONDS,5511,EAST  SIDE,018,DX0
90.774222,23.401611,DX00095512,DX0009,0106,PONDS,5512,WEST  SIDE,021,DX0
90.774167,23.402167,DX00095513,DX0009,0104,PONDS,5513,WEST  SIDE,023,DX0
90.775389,23.401583,DX00105514,DX0010,0111,PONDS,5514,WEST  SIDE,027,DX0
90.774417,23.401444,DX00105515,DX0010,0109,PONDS,5515,WEST  SIDE,029,DX0
90.772722,23.401500,DX00085516,DX0008,0091,PONDS,5516,WEST   SIDE,031,DX0
90.772944,23.401083,DX00085517,DX0008,0088,PONDS,5517,NORTH  SIDE,032,DX0
90.772861,23.401167,DX00085518,DX0008,0088,PONDS,5518,NORTH  SIDE,033,DX0
90.772139,23.401528,DX00085519,DX0008,0102,PONDS,5519,EAST  SIDE,035,DX0
90.771944,23.400972,DX00075520,DX0007,0077,PONDS,5520,WEST   SIDE,036,DX0
90.771500,23.401056,DX00075521,DX0007,0079,PONDS,5521,EAST    SIDE,037,DX0
90.772806,23.400250,DX00065522,DX0006,0069,PONDS,5522,WEST SIDE,043,DX0
90.773917,23.399667,DX00115523,DX0011,0115,PONDS,5523,SOUTH  SIDE,044,DX0
90.774194,23.399861,DX00125524,DX0012,0116,PONDS,5524,SOUTH SIDE,046,DX0
90.774250,23.399667,DX00125525,DX0012,0116,POND,5525,EAST SIDE,048,DX0
90.774167,23.398972,DX00125526,DX0012,0132,PONDS,5526,EAST  SIDE,049,DX0
90.774778,23.399444,DX00125527,DX0012,0127,PONDS,5527,SOUTH  SIDE,050,DX0
90.775278,23.400028,DX00135528,DX0013,0135,PONDS,5528,WEST  SIDE,051,DX0
90.775389,23.399417,DX00135529,DX0013,0138,PONDS,5529,SOUTH  SIDE,053,DX0
90.773944,23.408250,DX00585621,DX0058,0470,PONDS,5621,NORTH  SIDE,239,DX0
90.773472,23.408361,DX00585622,DX0058,0470,PONDS,5622,NORTH  SIDE,241,DX0
90.773250,23.408472,DX00585623,DX0058,0470,PONDS,5623,EAST  SIDE,242,DX0
90.775083,23.398778,DX00145530,DX0014,0142,PONDS,5530,NORTH  SIDE,056,DX0
90.775056,23.398583,DX00155531,DX0015,0155,PONDS,5531,WEST   SIDE,057,DX0
90.776389,23.399806,DX00165532,DX0016,0172,PONDS,5532,EAST  SIDE,066,DX0
90.776750,23.398861,DX00165533,DX0016,0178,PONDS,5533,SOUTH  SIDE,067,DX0
90.776944,23.399111,DX00165534,DX0016,0179,PONDS,5534,SOUTH SIDE,068,DX0
90.776972,23.399306,DX00175535,DX0017,0181,PONDS,5535,WEST  SIDE,070,DX0
90.776972,23.399194,DX00175536,DX0017,0181,PONDS,5536,WEST   SIDE,071,DX0
90.777167,23.398917,DX00175537,DX0017,0181,PONDS,5537,SOUTH  SIDE,072,DX0
90.776417,23.398306,DX00185538,DX0018,0187,PONDS,5538,NORTH  SIDE,074,DX0
90.776278,23.397806,DX00185539,DX0018,0189,PONDS,5539,SOUTH  SIDE,075,DX0
90.776472,23.396722,DX00185540,DX0018,0218,PONDS,5540,WEST  SIDE,079,DX0
90.776917,23.397278,DX00185541,DX0018,0179,PONDS,5541,SOUTH  SIDE,080,DX0
90.779556,23.396778,DX00195542,DX0019,0225,PONDS,5542,WEST  SIDE,085,DX0
90.779139,23.397000,DX00195543,DX0019,0233,PONDS,5543,SOUTH  SIDE,087,DX0
90.778667,23.397556,DX00195544,DX0019,0239,PONDS,5544,WEST  SIDE,088,DX0
90.778806,23.397167,DX00195545,DX0019,0244,PONDS,5545,EAST   SIDE,090,DX0
