lon,lat,AREA,PERIMETER,BARIS,vill
90.684539,23.314067,0,0,V32305,V32
90.687219,23.317698,0,0,V32067,V32
90.684439,23.322207,0,0,V32002,V32
90.687450,23.322367,0,0,V32045,V32
90.688837,23.322626,0,0,V32041,V32
90.688608,23.322875,0,0,V32040,V32
90.688300,23.327579,0,0,V60001,V60
90.699407,23.307721,0,0,V31338,V31
90.693254,23.324534,0,0,V31027,V31
90.692746,23.317345,0,0,V31386,V31
90.694973,23.316969,0,0,V31325,V31
90.696574,23.321474,0,0,V31057,V31
90.698568,23.324740,0,0,V31065,V31
90.701519,23.323972,0,0,V31070,V31
90.696103,23.330705,0,0,V10056,V10
90.697222,23.333028,0,0,V10070,V10
90.695466,23.332404,0,0,V10030,V10
90.697944,23.332389,0,0,V10034,V10
90.691498,23.343617,0,0,D00067,D00
90.694118,23.335626,0,0,V62029,V62
90.693805,23.335800,0,0,V62028,V62
90.693039,23.336629,0,0,V62026,V62
90.692722,23.344528,0,0,D00051,D00
90.700031,23.343400,0,0,D00007,D00
90.700545,23.345448,0,0,D00021,D00
90.702281,23.300424,0,0,V31245,V31
90.700678,23.315139,0,0,V31112,V31
90.705310,23.302546,0,0,V31224,V31
90.706904,23.301377,0,0,V31214,V31
90.704157,23.311446,0,0,V31191,V31
90.706563,23.305062,0,0,V31209,V31
90.702493,23.335612,0,0,V11053,V11
90.707837,23.339744,0,0,V11091,V11
90.702639,23.343944,0,0,D00004,D00
90.707388,23.343184,0,0,W00054,W00
90.706525,23.345062,0,0,W00048,W00
90.709611,23.337273,0,0,V59068,V59
90.709855,23.335653,0,0,V59026,V59
90.710475,23.341927,0,0,V59054,V59
90.710656,23.341835,0,0,V59053,V59
90.710985,23.340239,0,0,V59041,V59
90.711918,23.339809,0,0,V59043,V59
90.708266,23.344673,0,0,W00212,W00
90.710429,23.343743,0,0,W00178,W00
90.710278,23.342776,0,0,W00071,W00
90.713623,23.344657,0,0,W00282,W00
90.713379,23.345037,0,0,W00223,W00
90.714707,23.344141,0,0,V59057,V59
90.718451,23.320936,0,0,V72041,V72
90.719213,23.325544,0,0,V72037,V72
90.719387,23.326759,0,0,V72033,V72
90.725304,23.317426,0,0,V72100,V72
90.725479,23.326393,0,0,V72076,V72
90.726571,23.328176,0,0,V72195,V72
90.726904,23.331259,0,0,V72202,V72
90.713656,23.342398,0,0,V59009,V59
90.712252,23.344261,0,0,V59066,V59
90.718086,23.342155,0,0,V12006,V12
90.719524,23.341613,0,0,V13016,V13
90.722739,23.345084,0,0,V56010,V56
90.722739,23.345200,0,0,V56042,V56
90.723722,23.343093,0,0,V56005,V56
90.705032,23.345991,0,0,W00233,W00
90.703403,23.347446,0,0,D00044,D00
90.705263,23.347257,0,0,W00012,W00
90.705514,23.347554,0,0,W00005,W00
90.711169,23.346984,0,0,W00042,W00
90.712686,23.345769,0,0,W00254,W00
90.711858,23.347276,0,0,W00006,W00
90.711888,23.347692,0,0,W00101,W00
90.709776,23.343299,0,0,W00274,W00
90.714043,23.345833,0,0,W00161,W00
90.713158,23.344952,0,0,W00235,W00
90.714333,23.344484,0,0,W00139,W00
90.713361,23.345966,0,0,W00146,W00
90.713408,23.346675,0,0,W00163,W00
90.703113,23.384540,0,0,V84018,V84
90.714928,23.344446,0,0,V59064,V59
90.726826,23.357875,0,0,V19068,V19
90.726241,23.365367,0,0,V19095,V19
90.719155,23.384598,0,0,V17011,V17
90.730014,23.330764,0,0,V72206,V72
90.730278,23.348927,0,0,V20022,V20
90.732926,23.348791,0,0,V20047,V20
90.731722,23.351052,0,0,V20042,V20
90.735725,23.345055,0,0,V82015,V82
90.735970,23.349315,0,0,V82040,V82
90.750565,23.335195,0,0,VBC086,VBC
90.748392,23.348488,0,0,VBB004,VBB
90.740148,23.354920,0,0,V83083,V83
90.740844,23.358505,0,0,V21017,V21
90.741652,23.358257,0,0,V21013,V21
90.749248,23.345112,0,0,VBB032,VBB
90.741232,23.361878,0,0,V22016,V22
90.730156,23.363190,0,0,V19042,V19
90.739074,23.365321,0,0,H00039,H00
90.738064,23.366808,0,0,H00044,H00
90.738346,23.367566,0,0,H00041,H00
90.736629,23.368391,0,0,H00036,H00
90.755553,23.366538,0,0,V87006,V87
90.755633,23.366859,0,0,V87008,V87
90.746761,23.375481,0,0,V24038,V24
90.747539,23.375468,0,0,V24083,V24
90.747753,23.375611,0,0,V24037,V24
90.738806,23.384074,0,0,T00001,T00
90.743876,23.383837,0,0,T00016,T00
90.750655,23.372711,0,0,V24046,V24
90.754694,23.371306,0,0,V24063,V24
90.757880,23.381272,0,0,V28055,V28
90.764432,23.366726,0,0,V26027,V26
90.772497,23.371482,0,0,V26072,V26
90.772086,23.372687,0,0,V86030,V86
90.774953,23.375527,0,0,V86020,V86
90.774968,23.375952,0,0,V86019,V86
90.790479,23.375893,0,0,VBA026,VBA
90.788633,23.376956,0,0,VBA019,VBA
90.705031,23.383875,0,0,V84052,V84
90.703970,23.385425,0,0,V84082,V84
90.700475,23.389568,0,0,V84053,V84
90.700487,23.389542,0,0,V84064,V84
90.700334,23.389631,0,0,V84063,V84
90.711550,23.388817,0,0,V54018,V54
90.710447,23.390414,0,0,V55026,V55
90.710431,23.390397,0,0,V55006,V55
90.719430,23.385048,0,0,V17040,V17
90.720752,23.385161,0,0,V17013,V17
90.720844,23.385386,0,0,V17014,V17
90.720012,23.386149,0,0,V17039,V17
90.709854,23.391569,0,0,V55028,V55
90.712822,23.399249,0,0,V89065,V89
90.716889,23.407630,0,0,V89051,V89
90.717553,23.399787,0,0,V67019,V67
90.716858,23.411545,0,0,V63014,V63
90.717963,23.409002,0,0,V63053,V63
90.718131,23.409517,0,0,V63020,V63
90.732407,23.398157,0,0,V18066,V18
90.734721,23.396688,0,0,V18086,V18
90.733882,23.398237,0,0,V18139,V18
90.721777,23.405791,0,0,V63076,V63
90.727024,23.420474,0,0,R00026,R00
90.746181,23.386889,0,0,V25054,V25
90.746303,23.386995,0,0,V25040,V25
90.748244,23.390452,0,0,V25999,V25
90.754806,23.388839,0,0,L00024,L00
90.755126,23.388729,0,0,L00014,L00
90.755126,23.388782,0,0,L00011,L00
90.747954,23.391900,0,0,V29014,V29
90.748475,23.394601,0,0,V29020,V29
90.748453,23.396021,0,0,V29018,V29
90.748552,23.395902,0,0,V29017,V29
90.753413,23.400120,0,0,K00007,K00
90.751640,23.411115,0,0,O00048,O00
90.751625,23.412142,0,0,O00051,O00
90.751381,23.412134,0,0,O00050,O00
90.754510,23.412090,0,0,O00002,O00
90.755382,23.386206,0,0,V28999,V28
90.759145,23.387454,0,0,V28048,V28
90.757970,23.387397,0,0,V28059,V28
90.755555,23.394353,0,0,K00004,K00
90.754776,23.398693,0,0,K00999,K00
90.764941,23.401454,0,0,N00022,N00
90.755863,23.407443,0,0,O00020,O00
90.778903,23.405110,0,0,DX0999,DX0
90.766972,23.412972,0,0,DX1022,DX1
90.763019,23.416334,0,0,DX1028,DX1
90.765936,23.421044,0,0,V42021,V42
90.738427,23.366875,0,0,H00010,H00
90.738331,23.367926,0,0,H00030,H00
90.741427,23.376044,0,0,H00049,H00
90.720351,23.337604,0,0,V13005,V13
90.720592,23.341669,0,0,V13023,V13
90.720588,23.343275,0,0,V13026,V13
90.726559,23.360611,0,0,V19051,V19
90.732444,23.362250,0,0,V19060,V19
90.720228,23.352415,0,0,V19081,V19
90.724392,23.355524,0,0,V19089,V19
90.721831,23.354186,0,0,V19141,V19
90.723055,23.369387,0,0,V19148,V19
90.726730,23.372243,0,0,V19149,V19
90.722279,23.363006,0,0,V19150,V19
90.722638,23.363774,0,0,V19152,V19
90.725717,23.346813,0,0,V20055,V20
90.727645,23.344446,0,0,V20062,V20
90.738412,23.357767,0,0,V21018,V21
90.736467,23.358045,0,0,V21023,V21
90.738137,23.357767,0,0,V21025,V21
90.738412,23.357490,0,0,V21026,V21
90.738358,23.380259,0,0,V23017,V23
90.736851,23.378369,0,0,V23021,V23
90.735217,23.377793,0,0,V23022,V23
90.734103,23.378430,0,0,V23023,V23
90.736851,23.378924,0,0,V23024,V23
90.736019,23.379202,0,0,V23025,V23
90.736945,23.377730,0,0,V23026,V23
90.734875,23.377487,0,0,V23027,V23
90.763694,23.348000,0,0,VBB001,VBB
90.757972,23.341972,0,0,VBB109,VBB
90.757750,23.339944,0,0,VBB111,VBB
90.753168,23.343083,0,0,VBB118,VBB
90.753831,23.342715,0,0,VBB119,VBB
90.749312,23.353413,0,0,VBB120,VBB
90.736015,23.342581,0,0,VBC025,VBC
90.745972,23.340750,0,0,VBC045,VBC
90.750861,23.329750,0,0,VBC147,VBC
90.746506,23.341521,0,0,VBC153,VBC
90.744198,23.332247,0,0,VBC165,VBC
90.734006,23.340159,0,0,VBC170,VBC
90.734556,23.340363,0,0,VBC171,VBC
90.742618,23.337411,0,0,VBC180,VBC
90.738917,23.339556,0,0,VBC181,VBC
90.696889,23.334417,0,0,V10059,V10
90.691472,23.329788,0,0,V62009,V62
90.688505,23.316905,0,0,V32117,V32
90.688665,23.309148,0,0,V32149,V32
90.687303,23.316540,0,0,V32074,V32
90.686026,23.310537,0,0,V32099,V32
90.684443,23.312453,0,0,V32104,V32
90.685305,23.311363,0,0,V32102,V32
90.685137,23.311870,0,0,V32103,V32
90.685689,23.311476,0,0,V32098,V32
90.685582,23.310787,0,0,V32101,V32
90.684026,23.313176,0,0,V32106,V32
90.683137,23.313676,0,0,V32107,V32
90.683174,23.313596,0,0,V32108,V32
90.682609,23.314592,0,0,V32109,V32
90.684478,23.313625,0,0,V32105,V32
90.685471,23.315898,0,0,V32145,V32
90.687248,23.312143,0,0,V32142,V32
90.686658,23.309532,0,0,V32143,V32
90.686422,23.309201,0,0,V32097,V32
90.686165,23.310842,0,0,V32100,V32
90.686971,23.309315,0,0,V32096,V32
90.687637,23.309898,0,0,V32148,V32
90.687111,23.314846,0,0,V32130,V32
90.686943,23.313120,0,0,V32134,V32
90.685264,23.315824,0,0,V32110,V32
90.687216,23.315019,0,0,V32157,V32
90.687280,23.316289,0,0,V32158,V32
90.687997,23.316205,0,0,V32075,V32
90.687784,23.316376,0,0,V32073,V32
90.685582,23.322235,0,0,V32049,V32
90.684026,23.320842,0,0,V32003,V32
90.684248,23.320009,0,0,V32001,V32
90.685859,23.317315,0,0,V32068,V32
90.684832,23.317565,0,0,V32151,V32
90.685584,23.319395,0,0,V32050,V32
90.684534,23.323133,0,0,V32004,V32
90.684221,23.323657,0,0,V32113,V32
90.684225,23.321702,0,0,V32010,V32
90.684332,23.322009,0,0,V32009,V32
90.685359,23.321815,0,0,V32006,V32
90.684859,23.321342,0,0,V32120,V32
90.685637,23.321981,0,0,V32007,V32
90.685859,23.319620,0,0,V32051,V32
90.686526,23.318981,0,0,V32066,V32
90.686723,23.318956,0,0,V32115,V32
90.687471,23.317065,0,0,V32070,V32
90.687692,23.319177,0,0,V32060,V32
90.687387,23.318231,0,0,V32065,V32
90.687636,23.318254,0,0,V32064,V32
90.687301,23.320982,0,0,V32005,V32
90.687304,23.320259,0,0,V32053,V32
90.685971,23.321537,0,0,V32047,V32
90.687248,23.321398,0,0,V32044,V32
90.688168,23.321010,0,0,V32135,V32
90.687832,23.321870,0,0,V32030,V32
90.688413,23.316651,0,0,V32165,V32
90.689276,23.315208,0,0,V32087,V32
90.690219,23.308715,0,0,V32167,V32
90.689716,23.309096,0,0,V32162,V32
90.689221,23.308287,0,0,V32146,V32
90.689519,23.309597,0,0,V32118,V32
90.689804,23.313537,0,0,V32090,V32
90.688468,23.313017,0,0,V32112,V32
90.688971,23.314676,0,0,V32088,V32
90.690554,23.313203,0,0,V32092,V32
90.687915,23.320287,0,0,V32155,V32
90.689997,23.314635,0,0,V32147,V32
90.690444,23.300722,0,0,V31293,V31
90.691083,23.300222,0,0,V31318,V31
90.690967,23.298917,0,0,V31379,V31
90.691722,23.300250,0,0,V31317,V31
90.687349,23.315126,0,0,V32078,V32
90.691269,23.309754,0,0,V32153,V32
90.691101,23.309782,0,0,V32164,V32
90.690915,23.310648,0,0,V32095,V32
90.691748,23.310176,0,0,V32094,V32
90.687578,23.314031,0,0,V32089,V32
90.691165,23.312231,0,0,V32093,V32
90.686561,23.318458,0,0,V32156,V32
90.685858,23.317149,0,0,V32150,V32
90.688670,23.315426,0,0,V32076,V32
90.688288,23.316376,0,0,V32080,V32
90.689555,23.316036,0,0,V32084,V32
90.689387,23.315676,0,0,V32085,V32
90.686499,23.315421,0,0,V32086,V32
90.686171,23.316949,0,0,V32082,V32
90.686415,23.316712,0,0,V32154,V32
90.689053,23.321061,0,0,V32133,V32
90.688729,23.319813,0,0,V32127,V32
90.688193,23.318676,0,0,V32061,V32
90.688721,23.319342,0,0,V32059,V32
90.688718,23.316903,0,0,V32140,V32
90.688611,23.319924,0,0,V32056,V32
90.690109,23.319315,0,0,V32057,V32
90.685859,23.318815,0,0,V32173,V32
90.689054,23.319037,0,0,V32128,V32
90.686919,23.318861,0,0,V32144,V32
90.689221,23.320815,0,0,V32124,V32
90.689695,23.316294,0,0,V32048,V32
90.685278,23.318707,0,0,V32136,V32
90.688193,23.318287,0,0,V32062,V32
90.687109,23.316926,0,0,V32069,V32
90.687327,23.315423,0,0,V32077,V32
90.687304,23.317370,0,0,V32071,V32
90.690472,23.317528,0,0,V31132,V31
90.687529,23.317506,0,0,V32174,V32
90.687689,23.318698,0,0,V32063,V32
90.691056,23.316917,0,0,V31133,V31
90.688109,23.317981,0,0,V32072,V32
90.691135,23.317387,0,0,V31470,V31
90.687053,23.318380,0,0,V32177,V32
90.689136,23.320093,0,0,V32126,V32
90.688884,23.320293,0,0,V32052,V32
90.688770,23.320239,0,0,V32125,V32
90.686911,23.321152,0,0,V32046,V32
90.696889,23.304056,0,0,V31397,V31
90.690334,23.320991,0,0,V32055,V32
90.690806,23.321972,0,0,V31035,V31
90.690251,23.321496,0,0,V32043,V32
90.683554,23.323287,0,0,V32013,V32
90.682859,23.332065,0,0,V60009,V60
90.681471,23.332148,0,0,V60008,V60
90.682525,23.331873,0,0,V60012,V60
90.681915,23.332037,0,0,V60029,V60
90.682415,23.332620,0,0,V60010,V60
90.683447,23.332533,0,0,V60011,V60
90.680721,23.333370,0,0,V61001,V61
90.690306,23.325250,0,0,V31017,V31
90.688807,23.322788,0,0,V32116,V32
90.684387,23.323453,0,0,V32014,V32
90.686054,23.322453,0,0,V32036,V32
90.684221,23.322676,0,0,V32011,V32
90.683590,23.322930,0,0,V32016,V32
90.684582,23.322898,0,0,V32018,V32
90.687748,23.322926,0,0,V32027,V32
90.687415,23.322529,0,0,V32031,V32
90.686637,23.322731,0,0,V32033,V32
90.688776,23.322481,0,0,V32039,V32
90.686776,23.323259,0,0,V32026,V32
90.687003,23.322883,0,0,V32012,V32
90.687960,23.322905,0,0,V32008,V32
90.688471,23.323092,0,0,V32139,V32
90.686332,23.323509,0,0,V32121,V32
90.683169,23.322220,0,0,V32017,V32
