lon,lat,Name,Description
90.68945797,23.34685301,AD001,
90.70048202,23.34315601,AD002,
90.70055,23.34536003,AD003,
90.696237,23.32825097,AV101,
90.69566703,23.329651,AV102,
90.69931601,23.33213699,AV103,
90.70825196,23.34176503,AV111,
90.706332,23.33857102,AV112,
90.70285602,23.33654696,AV113,
90.68509301,23.31185698,AV321,
90.68829901,23.31481696,AV322,
90.68599096,23.32151603,AV323,
90.681121,23.33335002,AV612,
90.684343,23.33432098,AV613,
90.69100603,23.33644303,AV621,
90.69043002,23.33993903,AV622,
90.69059397,23.32922403,AV623,
90.72966998,23.33170004,AV721,
90.72653096,23.32902999,AV722,
90.72408898,23.32310901,AV723,
90.705109,23.34566102,AW001,
90.70731101,23.34665202,AW002,
90.706547,23.34493197,AW003,
90.73870501,23.37063096,BH001,
90.74133298,23.37407199,BH002,
90.74197001,23.37423401,BH003,
90.715881,23.34344502,BV121,
90.71613799,23.34208203,BV122,
90.71621804,23.34154098,BV123,
90.72249499,23.34120302,BV131,
90.72041402,23.34021103,BV132,
90.72115104,23.33847698,BV133,
90.72285801,23.36892902,BV191,
90.72715902,23.36999,BV192,
90.72813098,23.35862297,BV193,
90.73171902,23.34941301,BV201,
90.72933303,23.34556698,BV202,
90.72705701,23.34696097,BV203,
90.74232699,23.36195704,BV221,
90.74702002,23.36327299,BV222,
90.74733099,23.36470898,BV223,
90.73678304,23.37697799,BV231,
90.73837702,23.37852001,BV232,
90.74051097,23.37905796,BV233,
90.75306304,23.37295501,BV241,
90.753977,23.36844002,BV242,
90.75375002,23.38270501,BV243,
90.765971,23.37092198,BV261,
90.76878497,23.36824698,BV262,
90.76843101,23.36244503,BV263,
90.72783904,23.34228597,BV561,
90.72473899,23.34021597,BV562,
90.72334601,23.34331099,BV563,
90.71511104,23.33879801,BV591,
90.71319401,23.33940301,BV592,
90.71047903,23.33692599,BV593,
90.75743001,23.36712498,BV851,
90.755889,23.36931702,BV852,
90.755702,23.37186,BV853,
90.75526396,23.36600097,BV871,
90.75201002,23.36602704,BV872,
90.75055802,23.36659399,BV873,
90.753013,23.32703903,BVBC1,
90.74220202,23.33937602,BVBC2,
90.73616797,23.34360897,BVBC3,
90.77672297,23.39696196,CDX03,
90.77348898,23.40327596,CDX04,
90.76629303,23.41748597,CDX11,
90.77233798,23.41349099,CDX12,
90.76743297,23.41410697,CDX13,
90.77669196,23.408417,CDXO1,
90.77668299,23.40843502,CDXO2,
90.753086,23.39881402,CK001,
90.75633902,23.39615202,CK002,
90.75490303,23.39253698,CK003,
90.75665602,23.38939402,CL001,
90.75887103,23.39107401,CL002,
90.754078,23.38952302,CL003,
90.74845903,23.402189,CM001,
90.74924701,23.40202304,CM002,
90.74877201,23.40202496,CM003,
90.76471799,23.40381601,CN001,
90.76914196,23.39901502,CN002,
90.76345903,23.39568498,CN003,
90.75079003,23.41493402,CO001,
90.75109899,23.41420001,CO002,
90.75274,23.40483198,CO003,
90.74295203,23.41634301,CP001,
90.74075799,23.41824696,CP002,
90.742084,23.41498699,CP003,
90.74785301,23.41307198,CQ001,
90.74814504,23.41223102,CQ002,
90.74812802,23.41213597,CQ003,
90.76725896,23.37713297,CV271,
90.76449201,23.37500297,CV272,
90.76678497,23.37242897,CV273,
90.76150202,23.38474399,CV281,
90.76426604,23.38469697,CV282,
90.76162599,23.37918998,CV283,
90.75307301,23.40323799,CV301,
90.75386904,23.40101897,CV302,
90.752525,23.40119599,CV303,
90.76715503,23.42881302,CV391,
90.76999499,23.42943697,CV392,
90.76754504,23.429399,CV393,
90.76553497,23.42290797,CV401,
90.76583002,23.42407901,CV402,
90.765783,23.42608597,CV403,
90.75269298,23.41519997,CV411,
90.75375304,23.41441602,CV412,
90.75769496,23.41118596,CV413,
90.76246703,23.41992703,CV421,
90.76317899,23.42216098,CV422,
90.762907,23.41680603,CV423,
90.76182498,23.42539597,CV441,
90.75854296,23.42420298,CV442,
90.75709197,23.42222803,CV443,
90.77426397,23.37844499,CV861,
90.773837,23.374232,CV862,
90.77173901,23.37402396,CV863,
90.78370803,23.37221397,CV881,
90.78254697,23.37090396,CV882,
90.781099,23.37376202,CV883,
90.78984903,23.37723297,CVBA1,
90.790937,23.37540697,CVBA2,
90.79338603,23.377827,CVBA3,
90.73086399,23.41369903,DR001,
90.72878402,23.41479597,DR002,
90.72395202,23.41810699,DR003,
90.73738402,23.40370797,DS001,
90.73982298,23.40519399,DS002,
90.74118999,23.40207802,DS003,
90.74246898,23.383795,DT001,
90.74118102,23.387607,DT002,
90.73857601,23.38564999,DT003,
90.707281,23.37731997,DV15_1,
90.70733397,23.37817099,DV15_2,
